#	symbol	entrez	ensembl
ND1	4535	ENSG00000198888
ND2	4536	ENSG00000198763
COX1	4512	ENSG00000198804
COX2	4513	ENSG00000198712
ATP8	4509	ENSG00000228253
ATP6	4508	ENSG00000198899
COIII	4514	ENSG00000198938
COX3	4514	ENSG00000198938
ND3	4537	ENSG00000198840
ND4L	4539	ENSG00000212907
ND4	4538	ENSG00000198886
ND5	4540	ENSG00000198786
ND6	4541	ENSG00000198695
CYB	4519	ENSG00000198727
KIR2DL3	3804	ENSG00000273947
KIR2DL1	3802	ENSG00000276820
KIR2DL3	3804	ENSG00000277554
KIR3DL2	3812	ENSG00000273735
KIR2DS4	3809	ENSG00000274324
INTS3	65123	ENSG00000262826
PCMTD2	55251	ENSG00000280663
KIR2DS4	3809	ENSG00000274714
KIR2DS4	3809	ENSG00000274807
KIR2DS5	3810	ENSG00000275047
KIR2DS4	3809	ENSG00000276885
KIR2DS4	3809	ENSG00000274957
KIR2DS3	3808	ENSG00000278306
KIR2DL4	3805	ENSG00000276779
NCR1	9437	ENSG00000277334
KIR2DL2	3803	ENSG00000275407
KIR2DL2	3803	ENSG00000278731
KIR2DL4	3805	ENSG00000278074
KIR2DL4	3805	ENSG00000275699
KIR3DL2	3812	ENSG00000275511
KIR3DL3	115653	ENSG00000276433
KIR3DL1	3811	ENSG00000277272
KIR2DL4	3805	ENSG00000275732
KIR2DL4	3805	ENSG00000278430
KIR3DL1	3811	ENSG00000275786
KIR2DL1	3802	ENSG00000278805
KIR2DL4	3805	ENSG00000273575
KIR3DL3	115653	ENSG00000277620
KIR2DS4	3809	ENSG00000277345
KIR3DL2	3812	ENSG00000276424
KIR2DL4	3805	ENSG00000275237
FCAR	2204	ENSG00000276858
OPRL1	4987	ENSG00000277044
KIR3DL1	3811	ENSG00000276423
NPBWR2	2832	ENSG00000277339
KIR3DL1	3811	ENSG00000275717
KIR2DS5	3810	ENSG00000276676
KIR2DS4	3809	ENSG00000275938
KIR2DL1	3802	ENSG00000277616
KIR2DL3	3804	ENSG00000277317
KIR2DS2	100132285	ENSG00000276258
KIR2DS2	100132285	ENSG00000278152
MYT1	4661	ENSG00000276876
KIR3DL3	115653	ENSG00000276930
KIR2DL5B	553128	ENSG00000275946
KIR2DL4	3805	ENSG00000274189
KIR3DL1	3811	ENSG00000274948
KIR3DL1	3811	ENSG00000273775
KIR2DL1	3802	ENSG00000273510
KIR3DL1	3811	ENSG00000276501
KIR3DS1	3813	ENSG00000276534
KIR2DL2	3803	ENSG00000275914
KIR2DL4	3805	ENSG00000276044
KIR2DL1	3802	ENSG00000278207
KIR3DL1	3811	ENSG00000276329
KIR2DL2	3803	ENSG00000277251
KIR3DL1	3811	ENSG00000276379
